City,Median Age,Male Population,Female Population,Total Population,State
Newark,34.6,138040,143873,281913,NJ
Peoria,33.1,56229,62432,118661,IL
O'Fallon,36.0,41762,43270,85032,MO
Hampton,35.5,66214,70240,136454,VA
Lakewood,37.7,76013,76576,152589,CO
Mesa,36.9,234998,236835,471833,AZ
Bryan,29.4,41761,40345,82106,TX
Garland,34.5,116406,120430,236836,TX
Springfield,38.8,55639,62170,117809,IL
Flint,35.3,48984,49313,98297,MI
Tacoma,37.7,100914,107036,207950,WA
Waterbury,36.2,52235,56572,108807,CT
Eagan,36.8,31587,34701,66288,MN
Fort Smith,34.9,43346,44849,88195,AR
Carmichael,41.0,29281,33934,63215,CA
Daly City,39.7,53817,52757,106574,CA
Murrieta,35.3,49363,60453,109816,CA
Brentwood,34.2,31395,32397,63792,NY
Quincy,41.0,44129,49500,93629,MA
Boulder,29.0,56342,51000,107342,CO
Evanston,36.8,34146,41377,75523,IL
Dothan,38.9,32172,35364,67536,AL
Antioch,34.0,54733,55809,110542,CA
Madison,30.7,122596,126360,248956,WI
Victorville,30.6,60989,61247,122236,CA
Billings,36.3,52705,57565,110270,MT
Sandy Springs,35.4,48570,56777,105347,GA
Iowa City,25.5,37089,37138,74227,IA
Largo,45.1,38166,42841,81007,FL
Shreveport,35.2,93138,103856,196994,LA
Kalamazoo,26.4,37175,38865,76040,MI
Round Rock,34.9,56646,59193,115839,TX
Richmond,35.3,52615,57100,109715,CA
Columbia,26.8,56544,62554,119098,MO
Sandy,34.6,46923,46689,93612,UT
Hoover,38.5,38040,46799,84839,AL
Fullerton,34.5,69549,71300,140849,CA
Rapid City,39.5,36122,37446,73568,SD
Newport Beach,46.8,43161,43970,87131,CA
Columbus,33.7,98785,101794,200579,GA
Palm Coast,48.8,39489,42632,82121,FL
Albany,33.3,31695,39414,71109,GA
Jurupa Valley,33.8,49430,50884,100314,CA
Providence,29.9,89090,90114,179204,RI
Decatur,40.4,34646,38210,72856,IL
Scranton,38.5,37975,39137,77112,PA
Anaheim,33.6,179603,171135,350738,CA
Rochester,31.4,100135,109673,209808,NY
Buffalo,33.1,124537,133529,258066,NY
Richmond,33.6,104793,115496,220289,VA
Santa Ana,30.8,167503,167920,335423,CA
Sunnyvale,35.7,79480,72280,151760,CA
Augusta-Richmond County consolidated government,33.7,94662,101917,196579,GA
Milwaukee,31.6,286315,313839,600154,WI
Conroe,31.5,34907,33685,68592,TX
Savannah,30.3,69389,76295,145684,GA
German,34.9,41115,43007,84122,MD
Costa Mesa,34.8,59097,54089,113186,CA
New Haven,29.9,63765,66545,130310,CT
Westland,39.9,37742,44253,81995,MI
Waldorf,33.6,35640,39872,75512,MD
Cedar Rapids,36.2,63109,67296,130405,IA
Troy,43.3,42371,40905,83276,MI
Kirkland,40.8,42159,45108,87267,WA
Santa Barbara,37.8,45068,46784,91852,CA
Lake Forest,40.3,41515,40982,82497,CA
Chino,36.5,50989,34610,85599,CA
Tucson,33.6,264893,266781,531674,AZ
Boise,34.9,110099,108181,218280,ID
Joliet,33.1,70863,79162,150025,IL
Metairie,41.6,69515,76943,146458,LA
Moreno Valley,30.7,98584,105597,204181,CA
Elizabeth,34.2,65896,63116,129012,NJ
Wyoming,32.8,35967,39310,75277,MI
Norman,30.9,59483,60814,120297,OK
Frisco,37.2,73989,80399,154388,TX
Waterloo,37.2,34488,33969,68457,IA
Oakland,35.7,203827,215451,419278,CA
Jonesboro,32.6,35666,38240,73906,AR
Springfield,34.1,81057,85741,166798,MO
Mission,32.9,40530,42777,83307,TX
Midland,32.1,66595,66355,132950,TX
Lansing,31.4,54333,59777,114110,MI
Springdale,31.8,36840,43614,80454,AR
Bay,32.9,37977,37508,75485,TX
Apple Valley,34.3,32873,39312,72185,CA
Brockton,35.2,46273,49041,95314,MA
Poinciana,34.2,38142,35801,73943,FL
Davis,26.3,33493,34163,67656,CA
Springfield,31.8,74744,79592,154336,MA
Saint Louis,35.0,153026,162659,315685,MO
Lehigh Acres,34.3,57856,61624,119480,FL
Henderson,42.5,139412,146246,285658,NV
Frederick,36.1,33146,36336,69482,MD
Vacaville,35.8,50091,46703,96794,CA
Laredo,28.8,124305,131484,255789,TX
El Cajon,32.7,54450,49238,103688,CA
Lorain,35.6,30844,32807,63651,OH
Johns Creek,39.0,40282,43057,83339,GA
Cicero,28.5,43153,40714,83867,IL
Rio Rancho,38.3,47251,46904,94155,NM
Atlanta,33.8,223960,239915,463875,GA
Concord,39.6,62310,66358,128668,CA
Marysville,33.2,33436,33337,66773,WA
South San Francisco,39.4,34177,33094,67271,CA
Portsmouth,33.6,45900,50301,96201,VA
Norwalk,35.0,53125,54020,107145,CA
Alhambra,41.0,42184,43388,85572,CA
Carson,40.4,43790,49506,93296,CA
Everett,37.0,56212,51800,108012,WA
Citrus Heights,37.8,41982,45071,87053,CA
North Little Rock,33.6,31671,34835,66506,AR
Atascocita,32.8,37424,40816,78240,TX
Erie,35.3,48618,50852,99470,PA
Fresno,30.0,256130,263942,520072,CA
Jacksonville,35.7,419203,448828,868031,FL
High Point,35.5,51751,58077,109828,NC
Pearland,33.9,52336,59329,111665,TX
Brownsville,30.6,87689,96199,183888,TX
Denton,28.7,62478,68569,131047,TX
San Bernardino,28.5,108671,107466,216137,CA
Mesquite,34.6,69240,75884,145124,TX
Sioux Falls,34.6,86596,84934,171530,SD
Charleston,35.0,63956,71568,135524,SC
Redwood City,37.1,42676,42624,85300,CA
Paradise,37.2,122784,114162,236946,NV
Upland,39.7,36226,40221,76447,CA
Paterson,34.0,70640,77117,147757,NJ
Pasco,28.6,35298,32799,68097,WA
Lubbock,29.2,122320,126731,249051,TX
Schenectady,36.7,32398,32901,65299,NY
Worcester,34.9,90951,93855,184806,MA
Cedar Park,34.4,31248,33589,64837,TX
Pembroke Pines,40.3,77050,89574,166624,FL
West Covina,39.8,51629,56860,108489,CA
Edmond,32.5,45191,44899,90090,OK
Columbia,37.9,52202,51265,103467,MD
Raleigh,32.8,219184,232765,451949,NC
Compton,30.1,49264,49184,98448,CA
Amarillo,33.8,99391,100260,199651,TX
Chesapeake,36.7,114964,120465,235429,VA
Glendale,34.4,116795,123319,240114,AZ
Corona,37.1,79749,84493,164242,CA
Broken Arrow,36.8,52136,55459,107595,OK
Fort Lauderdale,42.8,93948,84639,178587,FL
Fayetteville,30.7,101051,100914,201965,NC
Hartford,31.0,58042,65972,124014,CT
Athens-Clarke County unified government,26.5,57415,65148,122563,GA
Warwick,42.6,39289,42409,81698,RI
Charlotte,34.3,396646,430475,827121,NC
Jersey City,34.3,131765,132512,264277,NJ
Westminster,37.8,54866,58251,113117,CO
Long Beach,34.6,238159,236013,474172,CA
Coral Springs,37.2,63316,66186,129502,FL
Spokane Valley,36.0,49933,44975,94908,WA
Mayagüez,38.1,30799,35782,66581,PR
San Diego,34.5,693826,701081,1394907,CA
Chandler,35.6,128885,131948,260833,AZ
Pine Hills,29.2,35344,40737,76081,FL
Tulsa,35.0,197437,205654,403091,OK
Hawthorne,33.7,43682,44762,88444,CA
Portland,36.7,313516,318671,632187,OR
Tampa,35.3,175517,193511,369028,FL
Arlington,34.4,113981,115183,229164,VA
Sunrise Manor,32.5,93505,99103,192608,NV
Longmont,36.8,43941,48280,92221,CO
Macon,36.0,71833,81626,153459,GA
Arden-Arcade,41.5,47596,48680,96276,CA
Redlands,36.2,33993,37035,71028,CA
Anchorage,32.2,152945,145750,298695,AK
Missoula,34.7,35002,36022,71024,MT
Mobile,38.0,91275,103030,194305,AL
Newton,42.3,41985,46824,88809,MA
Baton Rouge,31.2,111492,117104,228596,LA
Cincinnati,32.7,143654,154883,298537,OH
Longview,36.8,40065,41525,81590,TX
Santa Rosa,37.9,86840,88149,174989,CA
Fairfield,34.7,55550,57422,112972,CA
Centennial,42.4,53222,56504,109726,CO
Fremont,38.3,114383,117808,232191,CA
New Braunfels,37.0,33071,36852,69923,TX
Elk Grove,36.1,80057,86833,166890,CA
Norfolk,30.2,128917,117476,246393,VA
Pompano Beach,42.5,56569,51202,107771,FL
Redondo Beach,43.0,34855,33330,68185,CA
Jackson,31.7,79039,91772,170811,MS
Saint Petersburg,41.8,123524,133564,257088,FL
Casas Adobes,44.8,30890,34375,65265,AZ
Gilbert,33.2,116711,130812,247523,AZ
Fargo,30.7,60560,58690,119250,ND
Kansas City,35.9,228430,246931,475361,MO
Berkeley,32.5,60142,60829,120971,CA
Santa Clara,35.2,63278,62938,126216,CA
Kansas City,33.4,74606,76655,151261,KS
Maple Grove,38.6,31780,36601,68381,MN
Lynchburg,28.7,38614,41198,79812,VA
Las Cruces,32.7,47835,53809,101644,NM
Spring Valley,37.0,96808,97147,193955,NV
Sioux City,34.3,38827,43949,82776,IA
Ellicott City,42.4,34406,36526,70932,MD
Fontana,29.5,100644,106828,207472,CA
Kennewick,32.0,38492,40411,78903,WA
Waukegan,32.3,45514,42833,88347,IL
Eugene,33.4,79071,84377,163448,OR
Hollywood,41.4,75358,74363,149721,FL
Auburn,37.1,36837,39743,76580,WA
Walnut Creek,47.6,31994,36912,68906,CA
San Mateo,39.3,50966,52558,103524,CA
Killeen,29.2,69442,71367,140809,TX
Mount Vernon,38.5,31876,36745,68621,NY
Akron,38.1,96886,100667,197553,OH
Flagstaff,23.9,33224,37093,70317,AZ
Knoxville,33.1,89978,95334,185312,TN
Davenport,35.2,50123,52454,102577,IA
Wichita,34.6,192354,197601,389955,KS
South Bend,32.4,50483,53274,103757,IN
Livonia,47.4,45369,49264,94633,MI
Bloomington,40.9,43318,43118,86436,MN
West Jordan,30.8,57898,54044,111942,UT
Beaumont,31.6,57326,60784,118110,TX
Phoenix,33.8,786833,776168,1563001,AZ
Torrance,41.2,73209,75259,148468,CA
Loveland,37.6,37042,38146,75188,CO
Buena Park,35.7,41593,41671,83264,CA
McKinney,35.6,77339,85548,162887,TX
Temecula,34.2,54407,57619,112026,CA
New Bedford,38.6,43793,51166,94959,MA
Toledo,36.1,135455,144323,279778,OH
Avondale,29.1,38712,41971,80683,AZ
Brooklyn Park,35.1,37845,41305,79150,MN
Inglewood,34.9,52995,58661,111656,CA
Chicago,34.2,1320015,1400541,2720556,IL
Boca Raton,47.3,44760,48466,93226,FL
Overland Park,38.2,93355,93156,186511,KS
Oshkosh,33.0,32905,33652,66557,WI
Fort Myers,37.3,36850,37165,74015,FL
Ontario,31.0,85059,86141,171200,CA
Pasadena,37.6,67712,74534,142246,CA
Saint George,37.3,38732,41475,80207,UT
Indio,35.9,43803,43723,87526,CA
Farmington Hills,42.1,37527,43805,81332,MI
Baldwin Park,35.8,38747,38309,77056,CA
Bellevue,37.4,70763,69051,139814,WA
Gary,38.1,35876,41478,77354,IN
Dayton,32.8,66631,73966,140597,OH
Laguna Niguel,45.8,30193,35619,65812,CA
Syracuse,30.3,69462,74690,144152,NY
Indianapolis,34.1,410615,437808,848423,IN
San Jose,36.5,518317,508602,1026919,CA
Topeka,37.1,60879,66378,127257,KS
Arvada,41.0,54870,60165,115035,CO
Fishers,34.5,42161,43910,86071,IN
Victoria,35.8,32290,35291,67581,TX
Des Moines,34.5,103726,106591,210317,IA
Santa Maria,30.1,53320,51762,105082,CA
Bolingbrook,33.7,36295,35801,72096,IL
Bloomington,23.5,40588,43227,83815,IN
Palm Bay,40.7,51767,56128,107895,FL
The Villages,70.5,39295,33295,72590,FL
Oxnard,31.0,101906,105346,207252,CA
West Valley City,30.7,68235,67989,136224,UT
Appleton,35.6,37217,38038,75255,WI
Gastonia,36.9,35527,39023,74550,NC
Deltona,39.9,44853,43621,88474,FL
